disease,symptom,url_x,disease_cleaned,letter,name
Abdominal aortic aneurysm,"In most cases, an AAA causes no noticeable symptoms. However, if it becomes large, some people may develop a pain or a pulsating feeling in their abdomen (tummy) or persistent back pain.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,sweaty and clammy skin,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"The bulging occurs when the wall of the aorta weakens. Although what causes this weakness is unclear, smoking and high blood pressure are thought to increase the risk of an aneurysm.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,"If you have any of the symptoms above, you should see your GP as soon as possible.",https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,smoking,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Abdominal aortic aneurysm,Symptoms of an unruptured AAA may include:,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/abdominal-aortic-aneurysm/,abdominal aortic aneurysm,A,Abdominal aortic aneurysm
Achilles tendinopathy,Symptoms may vary from person to person. They can appear gradually or suddenly.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,The causes can be varied but there are some common factors that are important.These can include:,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,People can have one or multiple symptoms.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,sedentary behaviour that can weaken your muscles and tendons over time,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,"If your symptoms haven’t improved within 12 weeks, or it’s got worse, after following this advice, it’s a good idea to talk to a healthcare professional about your symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,spending a long time standing still,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,This information is useful for those who have been diagnosed with an Achilles tendinopathy. People who are experiencing new or ongoing symptoms should contact a healthcare professional for assessment and diagnosis.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,smoking,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,"other health conditions such as being overweight, diabetes and inflammatory arthritis",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,"a sudden or gradual change in load, for example changes in the level of exercise or taking up a new sport, beyond your normal levels of strength or endurance",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Achilles tendinopathy,wearing unsuitable or poorly fitting footwear for the activities you’re doing,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/achilles-tendinopathy/,achilles tendinopathy,A,Achilles tendinopathy
Acne,blood in your urine,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"non-ablative laser treatment – where lasers are used to stimulate the growth of new collagen (a type of protein found in skin), which helps to repair some of the damage caused by scarring, and improves the appearance",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"polycystic ovary syndrome – a common condition that can cause acne, weight gain and the formation of small cysts inside the ovary",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"certain medications – such as steroid medications, lithium (used to treat depression and bipolar disorder) and some anti-epileptic drugs (used to treat epilepsy)",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"punch grafting – used to treat very deep ice pick scars. As with a punch excision, the scar is removed, but the wound is “plugged” with a sample of skin taken from elsewhere on the body (usually from the back of the ear).",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,a type of antidepressant called selective serotonin reuptake inhibitors (SSRIs),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,dry skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"Acne is a common skin condition that affects most people at some point. It causes spots, oily skin and sometimes skin that’s hot or painful to touch.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"pregnancy – many women have symptoms of acne at this time, usually during the first 3 months of their pregnancy",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,talking therapies such as cognitive behavioural therapy (CBT),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"punch elevation – used to treat boxcar scars. The base of the scar is surgically removed, leaving the sides of the scar in place. The base is then reattached to the sides, but lifted up so it’s level with the surface of the skin. This makes the scar much less noticeable.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,smoking – which can contribute to acne in older people,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"in women, the combined oral contraceptive pill",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,dry and tense skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,Treatment for acne depends on how severe it is. It can take several months of treatment before acne symptoms improve.,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"boxcar scars – round or oval depressions, or craters, in the skin",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,papules – small red bumps that may feel tender or sore,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,topical retinoids,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"ice pick scars – small, deep holes in the surface of your skin that look like the skin has been punctured with a sharp object",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,some redness and peeling of the skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,peeling of the skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,inflammation and irritation of your eyes (conjunctivitis),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"punch excision – used to treat mild ice pick scars. The scar is surgically removed and the remaining wound is sealed. After the wound heals, it leaves a smoother and more even area of skin.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"whiteheads – have a similar appearance to blackheads, but may be firmer and won’t empty when squeezed",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"pustules – similar to papules, but have a white tip in the centre, caused by a build-up of pus",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,antibiotic tablets,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,minor irritation of the skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,This could actually make symptoms worse and may leave you with scarring.,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,redness of the skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"bleeding and spotting between your periods, which can sometimes occur for the first few months",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,kidney disease,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"some cosmetic products – however, this is less common as most products are now tested, so they don’t cause spots (non-comedogenic)",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,periods – some women have a flare-up of acne just before their period,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,isotretinoin tablets,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,sore breasts,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,loss of interest in sex,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,inflammation of the pancreas (pancreatitis),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"Read more about the causes of acne, including some common acne myths.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"rolling scars – caused by bands of scar tissue that form under the skin, giving the surface of the skin a rolling and uneven appearance",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,redness and burning of the skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"regularly wearing items that place pressure on an affected area of skin, such as a headband or backpack",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"inflammation, dryness and cracking of the skin, lips and nostrils",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"blackheads – small black or yellowish bumps that develop on the skin; they’re not filled with dirt, but are black because the inner lining of the hair follicle produces pigmentation (colouring)",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,irregular or light periods,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,mood changes,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,photodynamic therapy – where light is applied to the skin in an attempt to improve symptoms of acne,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,inflammation of your eyelids (blepharitis),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"ablative laser treatment – where lasers are used to remove a small patch of skin around the scar to produce a new, smooth-looking area of skin",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,weight gain or weight loss,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,cysts – the most severe type of spot caused by acne; they’re large pus-filled lumps that look similar to boils and carry the greatest risk of causing permanent scarring,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,topical antibiotics,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,azelaic acid,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"This abnormal sebum changes the activity of a usually harmless skin bacterium called P. acnes, which becomes more aggressive and causes inflammation and pus.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"If acne suddenly starts in adult women, it can be a sign of a hormonal imbalance, especially if it’s accompanied by other symptoms such as:",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,nodules – large hard lumps that build up beneath the surface of the skin and can be painful,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,changes in your blood sugar levels,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,Most people have acne on and off for several years before their symptoms start to improve as they get older. Acne often disappears when a person is in their mid-twenties.,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,burning or stinging skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"a burning, itching or stinging sensation",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,comedone extractor – a small pen-shaped instrument that can be used to clean out blackheads and whiteheads,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,itchiness,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,"chemical peels – where a chemical solution is applied to the face, causing the skin to peel off and new skin to replace it",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,excessive body hair (hirsutism),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,headaches,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acne,inflammation of the liver (hepatitis),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,acne,A,Acne
Acute cholecystitis,an ultrasound scan of your abdomen to check for gallstones or other signs of a problem with your gallbladder,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,The causes of acute cholecystitis can be grouped into 2 main categories: calculous cholecystitis and acalculous cholecystitis.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,"Although some people who have had their gallbladder removed have reported symptoms of bloating and diarrhoea after eating certain foods, you can lead a perfectly normal life without a gallbladder.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,loss of appetite,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,yellowing of the skin and the whites of the eyes (jaundice),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,"Some people may additional symptoms, such as:",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,"If your symptoms suggest you have acute cholecystitis, your GP will refer you to hospital immediately for further tests and treatment.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,sweating,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,blood tests to check for signs of inflammation in your body,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,"It’s estimated that around 10% to 15% of adults in the UK have gallstones. These don’t usually cause any symptoms, but in a small proportion of people they can cause infrequent episodes of pain (known as biliary colic) or acute cholecystitis.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,a bulge in the abdomen,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,a high temperature (fever),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute cholecystitis,nausea and vomiting,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,acute cholecystitis,A,Acute cholecystitis
Acute lymphoblastic leukaemia,Treating acute lymphoblastic leukaemia,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,skin rashes,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,coughing up blood from your nose and mouth,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"neutrophils, which perform several functions, such as fighting bacterial infections, defending the body against parasites and preventing the spread of tissue damage",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,passing stools (faeces) that are very dark or tar-like,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"unusual and frequent bleeding, such as bleeding gums or nose bleeds",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"lymphocytes, which are mostly used to fight viral infections",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,dizziness,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,swelling in the face and lower legs,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,Symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of blast cells (immature white blood cells) in your blood increases.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,aching muscles,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,unusual and frequent bleeding,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,Symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of immature white blood cells in your blood increases. Symptoms include:,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"As the number of blast cells increases there is a drop in the number of red blood cells and platelet cells. This drop causes the symptoms of anaemia, such as tiredness, and increases the risk of excessive bleeding.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,chronic lymphocytic leukaemia,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,bone and joint pain,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"Treatment involves receiving regular injections of chemotherapy medication. This is usually done on an outpatient basis, which means you will not have to stay in hospital overnight. However, you may require some short stays in hospital if your symptoms suddenly get worse or if you develop an infection.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"exposure to benzene, a chemical used in manufacturing that is also found in cigarettes",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"change in mental state, such as confusion",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,infertility,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,You may be advised to take regular doses of antibiotics to prevent infections occurring. You should immediately report any possible symptoms of an infection to your GP or care team because prompt treatment may be required to prevent serious complications.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
Acute lymphoblastic leukaemia,"In some cases of acute lymphoblastic leukaemia, the affected cells can spread from your bloodstream into your central nervous system. This can cause a series of neurological symptoms (related to the brain and nervous system), including:",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia
