disease,symptom_cleaned,Causes,Symptoms
acute pancreatitis,"a viral infection – such as mumps or measles, acute pancreatitis is treated in hospital, where you’ll be closely monitored for signs of serious problems and given supportive treatment, such as fluids and oxygen., symptoms of sirs include:, certain rare conditions – including hyperparathyroidism, reye’s syndrome and kawasaki disease, sausages and fatty cuts of meat, self-help groups – such as alcoholics anonymous, an unusually fast breathing rate (more than 20 breaths a minute), it’s thought that acute pancreatitis occurs when a problem develops with some of the enzymes (chemicals) in the pancreas, which causes them to try to digest the organ., the doctor in charge of your care will ask you about the history of your symptoms",risk of bursting,"strong painkilling medication, develop 4 weeks, body mass index, rapid heartbeat of, normal workings of, certain areas of, removed to prevent, organs to fail, helps to reduce"
addison’s disease,"pale, cold, clammy skin, rapid, shallow breathing, a haemorrhage – very heavy bleeding into the adrenal glands, sometimes associated with meningitis or other types of severe sepsis, low mood, increased thirst, tuberculosis (tb) is the most common cause of addison’s disease worldwide, but is rare in the uk. tb is a bacterial infection that mostly affects the lungs, but can also spread to other parts of your body. it can cause addison’s disease if it damages your adrenal glands",,"unintentional weight loss, certain treatments needed, sudden worsening of, study of hormones, outer layer of, loss of consciousness, loss of appetite, lack of energy, course of antibiotics, bone marrow cells"
adenomyosis,"heavy periods that last for a long time, treatment during your period to help reduce the amount of menstrual blood loss, severe period pain, hormone therapy such as the contraceptive pill, to help control heavy or painful periods, bloating (your tummy sticks out more than normal), when you see your doctor about your symptoms, they’ll carry out what is called a pelvic examination. they’ll look at your vulva, vagina and cervix (the opening between the vagina and the womb) to see if there is something that could be causing your symptoms. sometimes other tests might be needed",,"relieve mild pain, severe period pain, muscular wall of, feeling of pressure, need ., anti, inflammatory medication to, important to get, removal of, lining of, period to"
alcohol-related liver disease,"yellowing of the eyes and skin (jaundice), filtering toxins from the blood, read more about the causes of arld., a blood test may also look for signs of abnormal blood clotting, which can indicate significant liver damage., loss of appetite, fatigue, being overweight or obese, vomiting blood or passing blood in your stools, fluid accumulation in the abdomen (ascites) with associated kidney failure, unusually curved fingertips and nails (clubbed fingers), alcohol-related liver disease (arld) refers to liver damage caused by excess alcohol intake",helping fight infection,"unusually curved fingertips, magnetic resonance imaging, important warning sign, first 48 hours, become significantly scarred, associated kidney failure, harmful level ., , :, feeling sick, range of associated"
allergic rhinitis,"medication won’t cure your allergy, but it can be used to treat the symptoms., wood dust, latex, your gp will usually be able to diagnose allergic rhinitis from your symptoms and any triggers you may have noticed. if the cause of your condition is uncertain, you may be referred for allergy testing",,"mucus cannot drain, middle ear –, improve 2 weeks, house dust mites, ., wood dust, mild allergic rhinitis, allergic rhinitis depends, of fluid behind, :, speak to, allergic rhinitis"
allergies,"emollients (moisturising creams) to keep the skin moist and protect it from allergens, latex – used to make some gloves and condoms, wheezing, chest tightness, shortness of breath and a cough, inhalers for asthma, dust mites, if you develop symptoms of anaphylaxis, such as difficulty breathing, you should inject yourself in the outer thigh before seeking emergency medical help., tablets for hives (urticaria), symptoms of an allergic reaction usually develop within a few minutes of being exposed to something you’re allergic to, although occasionally they can develop gradually over a few hours., signs of anaphylaxis include any of the symptoms above, as well as:, see your pharmacist if you or your child might have had an allergic reaction to something",,"tiny insects found, seeking emergency medical, release small particles, conjunctivitis ), dry, tree pollen –, particular food to, shortness of breath, exposed to pollen, diagnosing allergies ., , ), antihistamines –"
alzheimer’s disease,"problems moving around without help, hallucinations (seeing or hearing things that aren’t there), difficulty planning or making decisions, having had a severe head injury in the past, confusion, disorientation and getting lost in familiar places, difficulty performing self-care tasks, delusions (believing things that are untrue), there’s currently no cure for alzheimer’s disease. but, there are treatments that can help manage the symptoms. your gp or healthcare professional can discuss the best treatment options for you",,"difficulty performing self, best treatment options, also reduces chemicals, family history of, ), difficulty planning, severe head injury, untrue ), , parts of, rare cases, men ., "
anal cancer,"sigmoidoscopy – where a thin, flexible tube with a small camera and light is inserted into your bottom to check for any abnormalities, long-term (chronic) diarrhoea, the symptoms of anal cancer are often similar to more common and less serious conditions affecting the anus, such as piles (haemorrhoids) and anal fissures (small tears or sores)., a discharge of mucus from the anus, bleeding from the bottom (rectal bleeding), proctoscopy – where the inside of your rectum is examined using a hollow tube-like instrument (proctoscope) with a light on the end, biopsy – where a small tissue sample is removed from your anus during a sigmoidoscopy or proctoscopy so it can be examined in a laboratory under a microscope, infection with human papilloma virus (hpv) – a common and usually harmless group of viruses spread through sexual contact, which can affect the moist membranes lining your body, however, some people with anal cancer don’t have any symptoms., bowel control problems, dry and itchy skin around the groin and anus, anal cancer is a rare type of cancer that affects the very end of the large bowel",,"palliative care ., , moist membranes lining, human papilloma virus, examinations ., tell, bowel incontinence ), , itchy skin around, small tissue sample, best to get, appointments to monitor, cancer returning ., "
anaphylaxis,"antibiotics – particularly penicillin-like antibiotics, emerade, loss of consciousness, you should be able to leave hospital when the symptoms are under control and it’s thought they will not return quickly. this may be after a few hours, but you may have to stay in hospital for a few days if the symptoms were severe., nuts – such as walnuts, cashew nuts, almonds, brazil nuts and hazelnuts, you may be asked to take antihistamines and corticosteroid tablets 2 to 3 days after leaving hospital to help stop your symptoms returning",,"returning ., jext, period ., milk, normally safely take, calcium channel blockers, type of painkiller, tiny amount of, loss of consciousness, to avoid allergens, taken to test, airways to open"
angina,"pain that radiates down the left arm, or both arms, or to the neck, jaw, back or stomach, percutaneous coronary intervention (pci), electrocardiogram (ecg) – measures the rhythms and electrical activity of the heart, if you have unstable angina (where symptoms develop unpredictably), you’ll need certain medicines. these will prevent blood clots and reduce your risk of having a heart attack., unconsciousness, coronary artery bypass graft (cabg), difficulty breathing (snoring or rasping), central chest pain or discomfort in the chest that doesn’t go away – it may feel like pressure, tightness or squeezing, coronary angiography – shows whether your coronary arteries are narrow and how severe any blockages are, blood tests – help to identify increased enzyme levels (troponin) which are released when the heart is damaged, you or someone else has symptoms like:, symptoms of stable angina usually only last for a few minutes after exercise or stress",,"pci ), electrocardiogram, need certain medicines, myocardial perfusion scan, develop unpredictably ), , prevent blood clots, percutaneous coronary intervention, acute coronary syndrome, feel like pressure, go away –, blood tests –"
angioedema,"allergic angioedema – the swelling is caused by an allergic reaction, such as a reaction to peanuts, and sometimes occurs in combination with anaphylaxis, genitals, idiopathic angioedema – there is no known cause for the swelling (although certain factors, such as stress or infection, may trigger the symptoms), swelling of the inside of the throat, the windpipe and the tongue, making breathing difficult, a skin prick test – your skin is pricked with a tiny amount of the suspected allergen to see whether there is a reaction, nausea, read more about the causes of angioedema., abdominal (stomach) pain, it most often affects the hands, feet, eyes, lips, or genitals. in severe cases, the inside lining of the throat and bowel can be affected (see below)",,"triggers whenever possible, naturally occurring rubber, making breathing difficult, to treat people, area to expand, oral thrush –, including :, less, high cholesterol levels, type of painkiller, type of painkiller"
ankle avulsion fracture,"ligaments, smoking affects all of your tissues and slows facture healing times. in some people, it can stop healing altogether., nerves, tendons, if your ankle function hasn’t improved within 6 weeks of following this advice, it’s a good idea to talk to a healthcare professional about your symptoms",smoking affects,"healthcare professional, ankle function, ., stop, ’, ’, worse, tissues, tendons, people"
ankle sprain,"this information is useful for those who have been diagnosed with an ankle sprain. people who are experiencing new or ongoing symptoms should contact a healthcare professional for assessment and diagnosis., these vary from person to person and some symptoms may appear several days after the initial injury",,"improved within 8, appear several days, initial injury ., , diagnosis ., , healthcare professional, healthcare professional, got worse, experiencing new, ankle sprain, 12 weeks"
ankylosing spondylitis,"enthesitis – painful inflammation where a bone is joined to a tendon or ligament, commonly in the heel, ribs or elbow, a mri scan, the symptoms of ankylosing spondylitis can vary from person to person. they can develop slowly over several months or years., a group exercise programme, you should speak to your gp if you have symptoms of ankylosing spondylitis",,"least 30 minutes, cauda equina syndrome, body – like, sensitivity to light, individual exercise programme, group exercise programme, signs of inflammation, pelvis ., osteoporosis, starts to develop, of ankylosing spondylitis"
anorexia nervosa,"fear of ‘being fat’ or gaining weight, more hair on the face, keeping your body weight low, to the point it’s unhealthy, fits, liver damage, if someone close to you is showing signs of anorexia, you can offer help and support., slow or irregular heartbeat, pubic hair becoming sparse and thin, osteoporosis (fragile bones) and loss of muscle strength, particularly in women and girls, restricting food intake, problems with self-esteem and body image when it comes to food and weight, dehydration, restricting your food intake means your body isn’t getting enough energy or nutrition. this can lead to other physical symptoms",,"hypoglycaemia ), weakness, getting enough energy, food intake means, arrhythmia ), confusion, fear of ‘, trying to judge, support ., slow, someone close to, like :, signs, important to answer"
anxiety,"with treatment, many people are able to control their levels of anxiety. however, some treatments may need to be continued for a long time. there may be periods where your symptoms worsen",,"sense of dread, medication – like, feeling constantly “, edge ”, irritability, dread ., mind, cognitive behavioural therapy, clinically proven to, able to control, levels of anxiety, to feel anxious"
anxiety disorders in children,"generalised anxiety disorder causes you to feel anxious about a wide range of situations and issues, rather than one specific event. it’s a feeling of constant fear or dread all the time that makes doing daily tasks hard because of feelings of anxiety., physiotherapists, a child’s anxious personality may be partly determined by the genes they’ve inherited from their parents",,"specially trained professionals, quickly getting angry, ok ), psychologists, morning ., finding, friends anymore ., , fear becomes overwhelming, autistic spectrum disorders, potential to become, one specific event, healthcare professional to"
appendicitis,"as the causes aren’t fully understood, there’s no guaranteed way of preventing appendicitis., being sick, when the surgeon isn’t very experienced in laparoscopic removal, loss of appetite, in young women, these symptoms can sometimes have a gynaecological cause, such as an ectopic pregnancy or menstrual pain., symptoms of peritonitis can include:, these are signs your appendix may have burst, which can lead to potentially life-threatening complications",,"suddenly becomes worse, hand side )., , serious problem to, routinely sent to, referred to hospital, operation to minimise, laboratory to check, important to keep, hospital to confirm, ibs ), however"
arterial thrombosis,"medication, eat at least 5 portions of fruit and vegetables and 2 portions of fish per week (1 oily), obesity, alcohol misuse, lack of exercise, the symptoms of a stroke can come on suddenly and may include:, if you have any of these symptoms, it’s important to talk to your gp., reduce salt intake, numbness or weakness down one side, ranging in severity from weakness in your hand to complete paralysis of the whole side of your body, dizziness, if one of your legs is a very different colour from the other, and you have other symptoms, you should treat this as an emergency and call 999., surgery, if you suspect you or someone you know is having a heart attack, dial 999 immediately",,"type 1 diabetes, least 5 times, different colour from, dial 999 immediately, dial 999 immediately, blood cholesterol levels, hypertension ), diabetes, antiplatelet medicines –, emergency ., reducing, lack of exercise"
arthritis,"cervical spondylosis, ability to move around your home, lupus, foods containing fat and sugar, starchy foods – like bread, rice, potatoes and pasta, physiotherapy, an occupational therapist can help if you have severe arthritis that affects your:, milk and dairy foods, fibromyalgia, reactive arthritis, your symptoms will vary depending on the type of arthritis you have., polymyalgia rheumatica, painkillers, most types of childhood arthritis are known as juvenile idiopathic arthritis (jia). jia causes pain and inflammation in one or more joints for at least 6 weeks",,"child gets older, aligned ), corticosteroids, ., polymyalgia rheumatica, foods containing fat, juvenile idiopathic arthritis, type of arthritis, affects people of, dairy foods, of jia, severe arthritis"
asbestosis,"shipyard workers, plumbers, pipefitters and steamfitters, a computerised tomography (ct) scan, the specialist will also consider other possible causes of lung inflammation and scarring. for example, idiopathic pulmonary fibrosis, hypersensitivity pneumonitis and connective tissue disease related interstitial lung disease., boilermakers, chemical technicians, lung function tests, sheet metal workers, insulation workers, heating, air-conditioning and refrigeration mechanics, plasterers, there are things you can do to help your symptoms",,"of lung inflammation, lung function tests, idiopathic pulmonary fibrosis, sheet metal workers, shipyard workers, insulation workers, refrigeration mechanics, hypersensitivity pneumonitis, computerised tomography, chemical technicians"
asthma,"testing airway inflammation – either with a mucus sample or measuring your nitric oxide concentration (a high level can be a sign of airway inflammation), dust mites, breathing exercises can improve symptoms and reduce the need for reliever medicines in some people. these include breathing exercises taught by a physiotherapist and yoga., when your symptoms happen, reliever inhalers – usually blue – help asthma symptoms quickly, usually within 3 to 5 minutes",,"nitric oxide concentration, lower carbon footprint, concentrated fruit juice, blockers sometimes given, usual preventer treatment, high blood pressure, machine to check, important to use, every day to, continue to manage"
ataxia,"becoming more clumsy, tremors or shaking, episodic ataxia is a rare type of hereditary ataxia where a person has episodes or attacks of ataxia symptoms. the episodes can be triggered (caused) by environmental factors like stress, caffeine, alcohol, medication, physical activity or illness., friedreichs’ ataxia is the most common form of hereditary ataxia",vitamin b12 deficiency,"transient ischaemic attack, sight like blurred, gradually gets worse, dentatorubral pallidoluysian atrophy, conditions like stroke, treatments available to, treatments available to, spine to check, making changes to"
atopic eczema,"occasionally, areas of skin affected by atopic eczema can become infected. signs of an infection can include:, environmental factors or allergens– such as cold and dry weather, dampness, and more specific things such as house dust mites, pet fur, pollen and moulds, small yellowish-white spots appearing in the eczema, atopic eczema causes areas of skin to become itchy, dry, cracked, sore and red., whether you have any other conditions, such as allergies or asthma, read more about triggers and causes of atopic eczema",,"white spots appearing, white spots appearing, strong topical corticosteroid, house dust mites, herpes simplex virus, fluid oozing from, suspected ., emollients, service directory ., , living area ., , generally feeling unwell"
atrial fibrillation,"ablation, echocardiogram, in atrial fibrillation, the top chambers of the heart (the atria) can quiver or twitch (fibrillate). this causes the heart to beat irregularly., some people with atrial fibrillation have no symptoms",,"top chambers of, like beta blockers, detailed recording of, routine tests, pacemaker fitted, irregular heartbeat, fibrillate )., atrial fibrillation, atrial fibrillation, arrhythmic drugs"
attention deficit hyperactivity disorder (adhd),"impulsiveness, depression, the main symptoms of adhd in children and teenagers are:, excessive talking, obsessive-compulsive disorder (ocd), constantly fidgeting, conduct disorder – this often involves antisocial behaviour, like stealing and harming people or animals, interrupting conversations, epilepsy, having a short attention span, excessive physical movement, the main signs of hyperactivity and impulsiveness are:, tourette’s syndrome, constantly changing activity or task, some children may also have signs of other problems or conditions alongside adhd, like:, symptoms of adhd tend to be noticed at an early age. they may become more noticeable when a child’s circumstances change, like when they start school., being unable to stick at tedious or time-consuming tasks, the symptoms of adhd can improve with age",,"start school ., , excessive physical movement, constantly changing activity, acting without thinking, :, excessive talking, oppositional defiant disorder, unable to wait, unable to stick, unable to concentrate, short attention span"
autism,"some autistic people might need more support than others to live the lives they want to lead. the way autism affects you can change as you grow and experience different environments., while there are common signs of autism, it’s a very varied condition",,"world ., autism, want to lead, variety of ways, signs of autism, others to live, two autistic people, way autism affects, autistic people, autistic people, varied condition"
bacterial vaginosis,"often there are no symptoms of bacterial vaginosis. some women may notice a change in the normal discharge from the vagina., the causes of bacterial vaginosis are not fully understood, so it may not be possible to completely prevent it",risk of developing,"using scented soaps, swab to collect, receiving oral sex, new sexual partner, multiple sexual partners, able to lower, of bacterial vaginosis, of bacterial vaginosis, perfumed bubble bath"
benign prostate enlargement,"the sudden inability to pass urine, shaking and chills, studies have shown that tuvp is as effective as turp at improving symptoms. but some men and anyone with a prostate may need more treatment in the future., there’s a lower risk of complications, in some men and anyone with a prostate, the symptoms are mild and don’t require treatment",,"hormone called dihydrotestosterone, hormone called dihydrotestosterone, benign prostatic hyperplasia, 5 possible answers, 5 possible answers, carries urine from, asked to complete, asked to complete, aim to rule, prescribed one of"
bile duct cancer (cholangiocarcinoma),"a gastroenterologist – a specialist in the medical management of liver and biliary disease, in most cases, there are no signs of bile duct cancer until it reaches the later stages, when symptoms can include:, jaundice – yellowing of the skin and the whites of the eyes, itchy skin, pale stools and dark-coloured urine, vietnam, nausea, symptoms of bile duct cancer, loss of appetite, fatigue, itchy skin, the blockage will cause bile to move back into the blood and body tissue, resulting in symptoms such as:, unintentional weight loss, radiotherapy is not a standard treatment for bile duct cancer, but may help to relieve the symptoms, slow the spread of the cancer and prolong life. the types of radiotherapy are used to treat bile duct cancer:, nausea (feeling sick), a medical or clinical oncologist – a specialist in the non-surgical treatment of cancer using techniques such as radiotherapy and chemotherapy, computer tomography (ct) scan – a series of x-rays of your liver are taken and a computer is used to assemble them into a more detailed three-dimensional image, speak to your gp if you have signs of jaundice or are worried about other symptoms. while it is unlikely you have bile duct cancer, it is best to get it checked",,"strong magnetic field, primary sclerosing cholangitis, magnetic resonance imaging, frequency sound waves, feeling sick ), , condition affects men, bile duct outside, treating cancers of, signs of jaundice, series of x"
binge eating disorder,"eating a large amount of food when you’re not hungry, osteoarthritis, some types of cancer, like breast cancer and bowel cancer, high cholesterol, signs that an episode of overeating is actually a binge, include:, if someone close to you is showing signs of an eating disorder, you can offer help and support., diabetes, if you feel like you have to purge what you’ve eaten after a binge to avoid gaining weight, you may have symptoms of bulimia., high blood pressure, eating much faster than normal, eating until you feel uncomfortably full, the treatments available, if binges don’t happen regularly, and your weight is very low, you may have symptoms of anorexia",,"feelings of guilt, episode of overeating, amount of food, types of cancer, feel uncomfortably full, like breast cancer, support ., diabetes, someone close to, showing signs of, eating much faster"
bipolar disorder,"the death of a close family member or loved one, rethink, doing things that often have disastrous consequences – such as spending large sums of money on expensive and sometimes unaffordable items, loss of interest in everyday activities, avoiding alcohol and illegal drugs is an important part of recovery from episodes of manic, hypomanic or depressive symptoms, and can help you gain stability., staying fit and maintaining good physical and mental health, being delusional, having hallucinations and disturbed or illogical thinking, triggers and warning signs, support networks and action plans, early intervention teams – these provide early identification and treatment for people who have the first symptoms of psychosis. your gp may be able to refer you directly to an early intervention team",,"taken every day, sometimes unaffordable items, even longer ), , close family member, :, lithium carbonate, to improve relationships, seem irrational to, learn to recognise, visit every day, sense of achievement"
bladder cancer,"treatment to drain your kidneys, if they become blocked and cause lower back pain, there’s no need to have surgery, which is often an important consideration for people in poor health, ghee (a type of butter often used in indian cooking), having blood in your urine doesn’t mean you definitely have bladder cancer. there are other, more common, causes including:, a frequent need to urinate, less common symptoms of bladder cancer include:, you won’t need regular cystoscopies after treatment, although other less invasive tests may be needed, an alternative way of passing urine out of your body needs to be created, which may involve an external bag, difficulty passing urine, pde5s are sometimes combined with a device called a vacuum pump, which consists of a cylinder connected to a pump. the penis is placed inside the cylinder and the air is pumped out",,"type 2 diabetes, treating conditions affecting, longer taking pleasure, deep vein thrombosis, avoid close contact, physical examination of, lack of appetite, unintentional weight loss, right tests faster, indian cooking ), "
bone cancer,"treating bone cancer, as with chemotherapy, radiotherapy can be used before and after surgery to treat bone cancer, or used to control the symptoms and slow the spread of cancer when a cure is not possible., a noticeable lump over a bone, loss of appetite, symptoms of bone cancer, speak to your gp if you or your child experiences persistent, severe or worsening bone pain, or if you’re worried about any symptoms., headache, the main symptoms include:, less common symptoms can include:, causes of bone cancer, diarrhoea or constipation, tiredness and weakness, chondrosarcoma – which tends to affect adults aged over 40, read more about the symptoms of bone cancer, chemotherapy – treatment with powerful cancer-killing medication, dizziness, increased risk of catching infections, a weak bone that breaks (fractures) more easily than normal, diarrhoea, surgery to remove the section of cancerous bone – it’s often possible to reconstruct or replace the bone that’s been removed, although amputation is occasionally necessary, radiotherapy – where radiation is used to destroy cancerous cells, diagnosing bone cancer, about bone cancer, nausea and vomiting, while it’s highly unlikely that your symptoms are caused by cancer, it’s best to be sure by getting a proper diagnosis",,"unexplained weight loss, mostly affects children, make movement difficult, child experiences persistent, loss of appetite, good chance of, surgery to remove, detect damage to, damage healthy cells, also determine whether"
bone cancer: teenagers and young adults,"tests for bone cancer, treating bone cancer, loss of appetite, muscles are made of tough, stretchy tissue and give strength, your gp will talk to you about your symptoms, examine you and usually arrange some tests, such as x-rays and blood tests. there may be a number of reasons why you’re feeling unwell, so it can be difficult to diagnose the problem straight away. if your gp can’t find the cause, you may be referred to a specialist at the hospital",,"made metal fitting, problem straight away, number of reasons, loss of appetite, harder to move, difficult to diagnose, :, weight loss, move ., pain, made of tough, bone graft )."
bowel cancer,"make sure you return to your doctor if your symptoms persist or keep coming back after stopping treatment, regardless of their severity or your age., age – almost 9 in 10 cases of bowel cancer occur in people aged 60 or over, it’s not known exactly what causes bowel cancer, but there are a number of things that can increase your risk. these include:, preventing bowel cancer, the 3 main symptoms of bowel cancer are blood in the stools (faeces), a change in bowel habit, such as more frequent, looser stools, and abdominal (tummy) pain","shown several factors, making lifestyle changes","severe ulcerative colitis, palliative radiotherapy )., , magnetic resonance imaging, feels like sunburn, number of things, following combinations of, detailed image of, age of 60"
bowel incontinence,"limit fibre intake from wholegrain breads, bran, cereals, nuts and seeds (except golden linseeds), avoid foods high in fat, such as chips, fast foods and burgers, electrodes are inserted under the skin in the lower back and connected to a pulse generator. the generator releases pulses of electricity that stimulate the sacral nerves, which causes the sphincter and pelvic floor muscles to work more effectively., wholemeal bread, avoid skin, pips and pith from fruit and vegetables, in some cases, bowel incontinence may result from a health condition such as dementia or a severe learning disability that causes the person to lose bowel control",,"severe learning disability, recommended ‘ 5, exercises 3 times, required to carry, possible to cure, beneficial to keep, drinks containing caffeine, long labour ., , ., wholegrain rice, pith from fruit"
bowel polyps,"most people with polyps won’t be aware of them as they produce no symptoms and are often discovered by accident., bowel polyps are small growths on the inner lining of the colon (large bowel) or rectum. they are common, affecting 15% to 20% of the uk population, and don’t usually cause symptoms",,"inner lining of, uk population, to 20, small growths, large bowel, aware of, affecting 15, of, ’, ’"
brain stem death,"cardiac arrest – when the heart stops beating and the brain is starved of oxygen, heart attack – a serious medical emergency that occurs when the blood supply to the heart is suddenly blocked, heartbeat, blood pressure, severe under-activity of the thyroid gland, swallowing, blood clot – a blockage in a blood vessel that disturbs or blocks the flow of blood around your body, before testing for brain stem death, doctors must carry out a series of checks to ensure that the symptoms aren’t being caused by other factors, like:, someone in a vegetative state can show signs of wakefulness – for example, they may open their eyes, but not respond to their surroundings., stroke – a serious medical emergency that happens when the blood supply to the brain is blocked or interrupted, an overdose of illegal drugs, tranquillisers, poisons or other chemical agents, breathing, an abnormally low body temperature (hypothermia)",,"serious medical emergency, serious medical emergency, like :, someone, doctors must carry, cardiac arrest –, blood clot –, starved of oxygen, heart stops beating, heart attack –, blood supply to"
brain tumours,"sometimes, you may not have any symptoms to begin with, or they may only develop very slowly over time., progressive weakness or paralysis on one side of the body, vision problems, or speech problems, persistent nausea, vomiting and drowsiness, if a tumour does come back, treatment will aim to relieve your symptoms and prolong life by controlling the growth of the tumour., seizures (fits), mental or behavioural changes, such as memory problems or changes in personality, speak to your gp if you have persistent symptoms of a brain tumour",,"proper diagnosis ., , fits ), mental, unable to identify, aim to relieve, one side of, exact part of, tumour ., seizures, unlikely to, to begin, speak to"
