disease,symptom,url_x,letter,name
Malignant brain tumour (cancerous),"the brain stem may cause unsteadiness and difficulty walking, facial weakness, double vision, and difficulty speaking (dysarthria) and swallowing (dysphagia)",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
Hay fever,"an itchy throat, mouth, nose and ears",https://www.nhsinform.scot/illnesses-and-conditions/immune-system/hay-fever/,H,Hay fever
Thyroid cancer,"Other symptoms only tend to occur after the condition has reached an advanced stage, and may include:",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/thyroid-cancer/,T,Thyroid cancer
Kidney infection,not growing at the expected rate,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/kidney-infection/,K,Kidney infection
Postnatal depression,"recent stressful life events, like a bereavement",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/postnatal-depression/,P,Postnatal depression
Sinusitis,a reduced sense of smell,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/sinusitis/,S,Sinusitis
Overactive thyroid,corticosteroids to reduce inflammation,https://www.nhsinform.scot/illnesses-and-conditions/glands/overactive-thyroid/,O,Overactive thyroid
Nasal and sinus cancer,"If your GP thinks you might need some tests to determine what’s causing your symptoms, you’ll usually be referred to an ear, nose and throat (ENT) consultant in hospital.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/nasal-and-sinus-cancer/,N,Nasal and sinus cancer
Frozen shoulder,"The symptoms of a frozen shoulder usually get worse gradually, over a number of months.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/arm-shoulder-and-hand-problems-and-conditions/frozen-shoulder/,F,Frozen shoulder
Cervical cancer,"having a weakened immune system – this can occur as a result of taking certain medications, such as immunosuppressants, which are used to stop the body rejecting donated organs, or as a result of a condition such as HIV or AIDS",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/cervical-cancer/,C,Cervical cancer
Vulval cancer,"differentiated VIN (dVIN) – this is a rarer type, usually affecting women and anyone with a vulva over 60, associated with skin conditions that affect the vulva",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vulval-cancer/,V,Vulval cancer
Bowel cancer,not being able to pass stools when you go to the toilet,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bowel-cancer/,B,Bowel cancer
Functional neurological disorder,depression,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/functional-neurological-disorder/,Unknown,
Bladder cancer,aniline dyes,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bladder-cancer/,B,Bladder cancer
Psoriasis,"throat infections – in some people, usually children and young adults, a form of psoriasis called guttate psoriasis develops after a streptococcal throat infection (although most people who have streptococcal throat infections don’t develop psoriasis)",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/psoriasis/,P,Psoriasis
Liver cancer,Diagnosing liver cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/liver-cancer/,L,Liver cancer
Bladder cancer,"If you’re committed to giving up smoking, but don’t want to be referred to a stop smoking service, your GP should be able to prescribe medical treatment to help with any withdrawal symptoms you may experience after giving up.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bladder-cancer/,B,Bladder cancer
Anxiety,psychiatric nurses,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety/,A,Anxiety
Cervical cancer,"reduced production of blood cells, which can make you feel tired and breathless (anaemia) and vulnerable to infection because of a lack of white blood cells",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/cervical-cancer/,C,Cervical cancer
Peripheral neuropathy,"a burning or sharp pain, usually in the feet",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/peripheral-neuropathy/,P,Peripheral neuropathy
Skin rashes in children,The most common type of eczema is atopic eczema. This mostly affects children but can continue into adulthood.,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/skin-rashes-in-children/,S,Skin rashes in children
Vaginal cancer,vaginal discharge,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vaginal-cancer/,V,Vaginal cancer
Vaginal cancer,Treating vaginal cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vaginal-cancer/,V,Vaginal cancer
Brain tumours: Children,These are medicines that reduce swelling and inflammation in the brain and can help with symptoms.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/brain-tumours-children/,B,Brain tumours: Children
Depression,doing poorly at work,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/depression/,D,Depression
Degenerative cervical myelopathy,tingling or numbness in the arms or legs (often starting in fingertips or toes) or less commonly in the body,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/degenerative-cervical-myelopathy/,D,Degenerative cervical myelopathy
Coeliac disease,"Severe symptoms of coeliac disease can lead to malnutrition. However, this is rare.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/coeliac-disease/coeliac-disease/,C,Coeliac disease
Gastro-oesophageal reflux disease (GORD),Read more about the symptoms of GORD.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gastro-oesophageal-reflux-disease-gord/,G,Gastro-oesophageal reflux disease (GORD)
Malignant brain tumour (cancerous),"If your tumour does return after treatment, or you have a secondary brain tumour (where cancer has spread to your brain from another part of your body), a cure isn’t usually possible. Treatment can instead be used to control your symptoms and prolong life.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
Chronic kidney disease,Anaemia can occur because of many other conditions and your doctor will investigate to rule out other possible causes.,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/chronic-kidney-disease/,C,Chronic kidney disease
Food allergy,Other symptoms can be much less obvious and are sometimes thought of as being caused by something other than an allergy. They include:,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/food-allergy/,F,Food allergy
Bronchitis,people with a weakened immune system,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/bronchitis/,B,Bronchitis
Peripheral neuropathy,Symptoms of peripheral neuropathy can vary depending on which type you have. They can also develop quickly or slowly.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/peripheral-neuropathy/,P,Peripheral neuropathy
Costochondritis,You or someone else has symptoms like:,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/chest-and-rib-problems-and-conditions/costochondritis/,C,Costochondritis
Soft tissue sarcomas: Teenagers and young adults,"If the cancer affects a bone in or near a joint, your joint can be replaced with an artificial one.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/soft-tissue-sarcomas-teenagers-and-young-adults/,S,Soft tissue sarcomas: Teenagers and young adults
Skin light sensitivity (photosensitivity),dermatomyositis,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/skin-light-sensitivity/skin-light-sensitivity-photosensitivity/,S,Skin light sensitivity (photosensitivity)
Stomach ulcer,naproxen,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ulcer/,S,Stomach ulcer
Post-polio syndrome,"Chronic fatigue is one of the most common and troublesome symptoms of post-polio syndrome. This can be physical fatigue (tiredness) and brain fatigue. Brain fatigue can cause problems with concentration, attention and memory. MRI scans can show white spots in the brains of polio survivors which may be related to brain fatigue.",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/post-polio-syndrome/,P,Post-polio syndrome
Post-concussion syndrome,difficulties with reasoning (working out problems),https://www.nhsinform.scot/illnesses-and-conditions/injuries/head-and-neck-injuries/post-concussion-syndrome-pcs/,P,Post-concussion syndrome
Post-concussion syndrome,There’s no specific treatment that cures PCS. But there are a lot of strategies that can help. For most patients the symptoms gradually improve over time.,https://www.nhsinform.scot/illnesses-and-conditions/injuries/head-and-neck-injuries/post-concussion-syndrome-pcs/,P,Post-concussion syndrome
Spleen problems and spleen removal,sore throat,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/spleen-problems-and-spleen-removal/,S,Spleen problems and spleen removal
Diabetic retinopathy,bleeding into the eye or objects floating in your vision (floaters),https://www.nhsinform.scot/illnesses-and-conditions/diabetes/diabetic-retinopathy/,D,Diabetic retinopathy
Ataxia,Some people experience mild symptoms like slight balance problems. Other people have more severe symptoms and need help to carry out everyday tasks.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/ataxia/,A,Ataxia
Psoriasis,"The main side effect of infliximab is a headache. However, as infliximab affects the whole immune system, there’s a risk of serious side effects, including severe infections. You’ll be monitored for side effects during your treatment.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/psoriasis/,P,Psoriasis
Kidney cancer,About kidney cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/kidney-cancer/,K,Kidney cancer
Meningitis,being sick,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/meningitis/,M,Meningitis
Bone cancer: Teenagers and young adults,tiredness,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/bone-cancer-teenagers-and-young-adults/,B,Bone cancer: Teenagers and young adults
Alcohol-related liver disease,diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/alcohol-related-liver-disease/,A,Alcohol-related liver disease
Ankylosing spondylitis,an x-ray,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/ankylosing-spondylitis/,A,Ankylosing spondylitis
Acute lymphoblastic leukaemia: Teenagers and young adults,Many of the symptoms of ALL are caused by having fewer than normal healthy blood cells in the body. Symptoms can include:,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/acute-lymphoblastic-leukaemia-teenagers-and-young-adults/,A,Acute lymphoblastic leukaemia: Teenagers and young adults
Pancreatic cancer,vomiting,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/pancreatic-cancer/,P,Pancreatic cancer
Ulcerative colitis,a higher risk of getting blood clots in your legs or lungs,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/inflammatory-bowel-disease-ibd/ulcerative-colitis/,U,Ulcerative colitis
Chronic pancreatitis,"a computerised tomography (CT) scan – where a series of X-rays are taken to build up a more detailed, three-dimensional image of the pancreas",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/chronic-pancreatitis/,C,Chronic pancreatitis
Anaphylaxis,"You should be able to leave hospital when the symptoms are under control and it’s thought they will not return quickly. This may be after a few hours, but you may have to stay in hospital for a few days if the symptoms were severe.",https://www.nhsinform.scot/illnesses-and-conditions/immune-system/anaphylaxis/,A,Anaphylaxis
Diverticular disease and diverticulitis,muesli (no added sugar) – 1 medium-sized bowl of muesli contains 3.4g of fibre,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diverticular-disease-and-diverticulitis/,D,Diverticular disease and diverticulitis
Panic disorder,insomnia (sleep problems),https://www.nhsinform.scot/illnesses-and-conditions/mental-health/panic-disorder/,P,Panic disorder
Chilblains,"in severe cases, the surface of the skin breaks, and sores or blisters develop",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/chilblains/,C,Chilblains
Erectile dysfunction (impotence),"The narrowing of the arteries (called atherosclerosis) is one of the most common causes of ED. In these cases your GP may suggest lifestyle changes, such as losing weight, to try to reduce your risk of cardiovascular disease. This may help to relieve your symptoms as well as improving your general health.",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/erectile-dysfunction-impotence/,E,Erectile dysfunction (impotence)
Rheumatoid arthritis,arthroscopy – a procedure to remove inflamed joint tissue,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/rheumatoid-arthritis/,R,Rheumatoid arthritis
Angina,electrocardiogram (ECG) – measures the rhythms and electrical activity of the heart,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/angina/,A,Angina
Depression,avoiding talking to or spending time with your friends,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/depression/,D,Depression
Gastro-oesophageal reflux disease (GORD),You don’t necessarily need to see your GP if you only have symptoms occasionally. Ask your pharmacist for advice on treatments.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gastro-oesophageal-reflux-disease-gord/,G,Gastro-oesophageal reflux disease (GORD)
Heart block,Mobitz type 2 second degree heart block,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/heart-block/,H,Heart block
Acute pancreatitis,butter and lard,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/,A,Acute pancreatitis
Cystitis,"If you keep getting cystitis, your GP may give you an antibiotic prescription to take to a pharmacy whenever you develop symptoms, without needing to see your doctor first. Your GP can also prescribe a low dose of antibiotics for you to take continuously over several months if necessary.",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/cystitis/,C,Cystitis
Alcohol-related liver disease,"a tendency to bleed and bruise more easily, such as frequent nosebleeds and bleeding gums",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/alcohol-related-liver-disease/,A,Alcohol-related liver disease
Meniere’s disease,The symptoms and severity of Ménière’s disease vary widely from person to person.,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/menieres-disease/,M,Meniere’s disease
Labyrinthitis,feeling sick (nausea) or being sick,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/labyrinthitis/,L,Labyrinthitis
Acute myeloid leukaemia,infertility – which may be temporary or permanent (see complications of AML for more information),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-myeloid-leukaemia/,A,Acute myeloid leukaemia
Delirium,pressure sores,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/delirium/,D,Delirium
Cough,"a prescribed medicine, such as an angiotensin-converting enzyme inhibitor (ACE inhibitor), which is used to treat high blood pressure and cardiovascular disease – examples include ramipril and lisinopril",https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/cough/,C,Cough
Neuroblastoma: Children,diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/neuroblastoma-children/,N,Neuroblastoma: Children
Epilepsy,having seizures which cause loss of consciousness and the body to go stiff and jerk (tonic-clonic seizures),https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/epilepsy/,E,Epilepsy
Scabies,"Unlike normal scabies, a crusted scabies rash doesn’t usually itch. In crusted scabies, the increase in the number of mites causes thick, warty crusts to develop on the skin.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/scabies/,S,Scabies
Chronic kidney disease,blood or protein in your urine (protein in your urine is not something you will notice as it can only be detected during a urine test),https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/chronic-kidney-disease/,C,Chronic kidney disease
Ataxia,Friedreichs’ ataxia is the most common form of hereditary ataxia. Symptoms will normally start before the age of 25 but they can develop later.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/ataxia/,A,Ataxia
Loss of libido,"If you’re concerned about your libido, especially if your diminished sex drive distresses you or affects your relationship, make an appointment to see your GP to discuss any underlying causes and possible medical or psychological treatments.",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/loss-of-libido/,L,Loss of libido
Ovarian cyst,feeling very full after only eating a little,https://www.nhsinform.scot/healthy-living/womens-health/middle-years-around-25-to-50-years/periods-and-menstrual-health/ovarian-cyst/,O,Ovarian cyst
Breast cancer (female),"Breast cancer can have a number of symptoms, but the first noticeable symptom is usually a lump or area of thickened breast tissue.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/breast-cancer-female/,B,Breast cancer (female)
Testicular cancer,loss of appetite,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Stomach ulcer,down to your belly button,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ulcer/,S,Stomach ulcer
Skin cancer (melanoma),You may also be able to have other treatments to help with symptoms. These include:,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/skin-cancer-melanoma/,S,Skin cancer (melanoma)
Atopic eczema,"Eczema is a condition that causes the skin to become itchy, red, dry and cracked. It is a long-term (chronic) condition in most people, although it can improve over time, especially in children.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/atopic-eczema/,A,Atopic eczema
Schizophrenia,"being less likely to initiate conversations and feeling uncomfortable with people, or feeling there is nothing to say",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/schizophrenia/,S,Schizophrenia
Common cold,Cold symptoms:,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/common-cold/,C,Common cold
Coronary heart disease,type 2 diabetes,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/coronary-heart-disease/,C,Coronary heart disease
Flu,Complete our self-help guide to check your symptoms and find out what to do next.,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/flu/,F,Flu
