disease,Symptoms
nosebleed,nosebleed
obesity,"back pain, breathlessness, feeling very tired, headaches, stomach pain"
obstructive sleep apnoea,"ear pain, gas, headaches, high blood pressure, tiredness"
oesophageal cancer,"cough, diarrhoea, feeling very tired, hoarseness bleeding, indigestion, inflammation, pain, persistent vomiting, shortness of breath, tiredness"
oral thrush in adults,redness
osteoarthritis,"increased pain, obesity weakness, swelling"
osteoarthritis of the hip,"heels pain, hip weakness"
osteoarthritis of the knee,"joint pain, professional weakness, swelling"
osteoarthritis of the thumb,"oa pain, swelling"
osteoporosis,flu
osteosarcoma,"bleeding, bone pain, diarrhoea, nausea, tiredness, vomiting"
outer ear infection (otitis externa),"allergies, ear pain, hearing loss, inflammation, redness, swelling"
ovarian cancer,"abdominal pain, back pain, cancer nausea, flu, tiredness, vomiting"
ovarian cancer: teenagers and young adults,"swelling, tummy pain"
ovarian cyst,"fever, flu, heavy bleeding, pelvic pain, swelling, vaginal discharge"
overactive thyroid,"beds fever, bleeding, chest pain, constipation, cough, dehydration, diarrhoea, feeling tired all the time, flu, gum pain, inflammation, jaundice, mouth ulcer, muscle weakness, pain swelling, redness, shortness of breath, sore throat, thirst, time fatigue, tiredness, urticaria, vomiting"
paget’s disease of the nipple,"flu, nausea, nipple bleeding, rash, vomiting"
pain in the ball of the foot,with pain
pancreatic cancer,"cancer pain, cancer vomiting, changes nausea, diarrhoea, fever, indigestion, jaundice, longterm inflammation, nausea fatigue, rash, thirst, tiredness, weight loss and loss of muscle bulk"
panic disorder,"abdominal pain, blurred vision, chest pain, choking, constipation, constipation nausea, diarrhoea, dizziness, dry mouth, flu, headaches, rash, seizures, shortness of breath, vertigo, vomiting"
parkinson’s disease,"abdominal pain, blurred vision, constipation, dehydration, diarrhoea, dizziness, fainting, flu, gas, nausea, nerve pain, tiredness, urinary incontinence, vomiting"
patellofemoral pain syndrome,swelling pain
pelvic inflammatory disease,"fever, periods pain, tummy bleeding, vaginal discharge"
pelvic organ prolapse,"irritation bleeding, vaginal discharge"
penile cancer,"deeper bleeding, rash"
peripheral neuropathy,"belching, constipation, diarrhoea, feel pain, pain weakness, vasculitis inflammation"
phobias,"chest pain, choking, dizziness, dry mouth, fainting, flu, headaches, nausea fear, shortness of breath"
pims,"abdominal pain, breathlessness, cough, diarrhoea, dizziness, inflammation, rash, sore throat, swollen glands, vomiting"
plantar heel pain,heel pain
pneumonia,"chest pain, flu"
polio,"fever, muscle weakness, sore throat, tummy pain"
polymyalgia rheumatica,"inflammation, pain"
post-concussion syndrome,"blurred vision, dizziness, headaches, irritability nausea, migraine, therapy fatigue, tinnitus, tiredness"
post-polio syndrome,"be pain, breathlessness, chronic fatigue, muscle weakness, tiredness"
post-traumatic stress disorder (ptsd),"chest pain, dizziness, headaches, pain"
postnatal depression,feeling tired all the time
postural orthostatic tachycardia syndrome (pots),"abdominal pain, blurred vision, chest pain, constipation, diarrhoea, dizziness, fainting, fatigue, flu, headaches, headaches weakness, shortness of breath, tiredness"
pressure ulcers,"gas, severe pain"
progressive supranuclear palsy (psp),"movement fatigue, relieve pain"
prostate cancer,"back pain, diarrhoea, diarrhoea bleeding, flu, inflammation, prostate enlargement, tiredness, treatment swelling, urinary incontinence"
psoriasis,"blisters, dehydration, fatigue, fever, flu, headaches, high blood pressure, hypothermia, nausea, rash, sunburn, swelling, tenderness pain"
psoriatic arthritis,"pain, pain swelling"
pulmonary hypertension,"breathlessness, chest pain, dizziness, flu, inflammation, inflammation swelling, nodes fatigue, shortness of breath, tiredness"
rare conditions,high blood pressure
raynaud’s phenomenon,"constipation, diarrhoea, dizziness, edema, flu, headaches, itchy skin, numbness pain, rash, swelling, tiredness"
reactive arthritis,"diarrhoea, fever, flu, gas, mouth ulcer, rash, redness, sometimes inflammation, swelling, tummy pain"
ready steady baby!,for pain
respiratory syncytial virus (rsv),"flu, pain"
rhabdomyosarcoma,"constipation, pain, swelling, tiredness"
rheumatoid arthritis,"energy swelling, fever, fitness inflammation, redness, tiredness, unpredictable pain"
ringworm and other fungal infections,"affected vomiting, blisters, diarrhoea, indigestion, off nausea, rash, redness"
rosacea,"aerobics inflammation, back pain, blisters, diarrhoea, dry mouth, edema, facial swelling, flu, headaches, indigestion, redness"
scabies,rash
scarlet fever,"appear vomiting, diarrhoea, headaches, measures nausea, rash, scarlet fever, severe pain, sore throat"
schizophrenia,"blurred vision, constipation, dry mouth, hip problems"
sciatica,"back pain, cases inflammation, flu, leg pain, sciatica, weakness"
self-harm,bruises
sepsis,"breathlessness, chest pain, diarrhoea, fever, flu, joint pain, loss of consciousness, muscle weakness, tired nausea, vomiting"
septic shock,"diarrhoea, flu, nausea, vomiting"
severe head injury,"headaches, like weakness, tiredness"
shingles,"fever, pain inflammation, rash, severe pain"
shortness of breath,"breathlessness, chest pain, flu"
sickle cell disease,"abdominal pain, blurred vision, breath weakness, chest pain, cough, dehydration, dizziness, fainting, fever, flu, headaches, high blood pressure, jaundice, seizures, shortness of breath, sudden swelling"
sinusitis,"allergies, bad breath, fever, halitosis, pain, toothache"
sjogren’s syndrome,"diarrhoea, dry mouth, fatigue, it nausea, joint pain, rash, swelling, tiredness, toilet vomiting, vasculitis inflammation"
skin cancer (melanoma),"eyes bleeding, fatigue, flu, melanoma nausea, tiredness, you pain"
skin light sensitivity (photosensitivity),"fatigue, flu, headaches, like pain, rash, redness, sunburn, urticaria"
skin rashes in children,"blisters, flu, rash, redness, scarlet fever, skin rashes in children, urticaria"
slapped cheek syndrome,"fainting, fever, joint pain, rash, shortness of breath, sore throat, tiredness, upset stomach"
soft tissue sarcomas,gas
soft tissue sarcomas: teenagers and young adults,"breathlessness, constipation, cough, pain, swelling, tiredness"
sore throat,sore throat
spina bifida,"bowel incontinence, constipation, diarrhoea, flu, muscle weakness, urinary incontinence"
spleen problems and spleen removal,"abdominal pain, andor fatigue, bleeding pain, cough, dizziness, easy bleeding, fever, rash, redness, sore throat, swelling"
stomach ache and abdominal pain,"abdominal pain, acid reflux, bleeding, constipation, flu, gas, gastritis inflammation, migraine, swelling"
stomach cancer,"cancer nausea, diarrhoea, fever, flu, indigestion, jaundice, pain vomiting, redness, stomach pain, swelling, tiredness"
stomach ulcer,"appetite fatigue, breathlessness, constipation, cramps bleeding, diarrhoea, dizziness, farting, gas, headaches, heartburn vomiting, indigestion, rash, tiredness, tummy pain"
streptococcus a (strep a),"gas, scarlet fever, sore throat"
stroke,"arm weakness, vessel bleeding"
subacromial pain syndrome,subacromial pain
sunburn,"dizziness, edema, fever, headaches, sunburn, swelling"
swollen glands,"cough, glandular fever, sore throat, swollen glands"
syphilis,"coordination fever, headaches, itchy skin, pain, rash, tiredness"
tennis elbow,pain
testicular cancer,"back pain, breast enlargement, breath nausea, breathlessness, bruises, cancer swelling, cancer vomiting, cough, diarrhoea, fatigue, mouth ulcer, shortness of breath, sunburn, tinnitus, tiredness"
testicular lumps and swellings,"flu, fluidfilled swelling, inflammation, severe pain"
thirst,"excessive bleeding, fatigue, flu, thirst, tiredness"
thrush,"rash, redness, vaginal discharge"
thyroid cancer,"as fatigue, diarrhoea, dry mouth, hormone pain, mouth ulcer, nausea, sore throat, tiredness, vomiting"
tick bites,"including inflammation, rash"
tinnitus,tinnitus
tonsillitis,"bad breath, cough, earache, earache pain, fever, inflammation, redness, sore throat, swelling"
toothache,dull pain
tourette’s syndrome,"cough, sore throat, stuttering"
transient ischaemic attack (tia),"dizziness, high blood pressure"
transverse myelitis,"mslike swelling, muscle weakness, myelitis pain"
trichomonas infection,pain
trigeminal neuralgia,"dizziness, facial pain, flu, gas, migraine, sinusitis inflammation, tiredness, urticaria, vomiting"
tuberculosis (tb),"blurred vision, cough, fatigue, fever, flu, itchy skin, jaundice, rash, seizures, swelling, swollen glands, tiredness, tummy pain"
type 1 diabetes,"blurred vision, dry mouth, feeling thirsty, feeling very thirsty, feeling very tired, flu, passing urine more often than usual, stomach pain, thirst, tiredness, vomiting, weeks nausea, weight loss and loss of muscle bulk"
type 2 diabetes,"blurred vision, cuts or wounds that heal slowly, feeling tired all the time, feeling very thirsty, feeling very tired, passing urine more often than usual, thirst, weight loss and loss of muscle bulk"
ulcerative colitis,"abdominal pain, diarrhoea, fever, gas, get inflammation, mouth ulcer, shortness of breath"
underactive thyroid,"abnormal swelling, constipation, drive bleeding, edema, else pain, flu, hearing loss, high blood pressure, hypothermia, tiredness, weakness"
urinary incontinence,"cough, urinary incontinence"
urinary incontinence in women,"cough, urinary incontinence"
urinary tract infection (uti),"fever, pain"
urinary tract infection (uti) in children,"jaundice, tiredness, upset stomach, vomiting unpleasantsmelling, weight pain"
vaginal cancer,"cancer bleeding, diarrhoea, pelvic pain, sunburn, tiredness, vaginal discharge"
